ResultLeagueModel, Home Team, Away Team, 1, X, 2, 1X, X2
Israel - Premier League (Ligat ha`Al), Hapoel Eran Hadera, Sektzia Nes Tziona, 2,17, 3,00, 3,40, 1,28
Israel - Premier League (Ligat ha`Al), Maccabi Tel Aviv, Maccabi Haifa, 1,87, 3,55, 4,50, 1,20
Montenegro - First League, OFK Titograd, Buducnost, 6,00, 3,95, 1,50, 2,47
Montenegro - First League, FK Rudar Pljevlja, FK Podgorica, 1,87, 3,35, 3,95, 1,23
Montenegro - First League, Iskra, Kom, 1,57, 3,55, 6,00, 1,12
Poland - 1.division, Olimpia Grudziadz, Podbeskidzie Bielsko, 4,50, 3,80, 1,62, 2,14
Poland - 2.division, Widzew Lodz, Skra Czestochowa, 1,20, 5,40, 11,00, 1,04
Poland - 2.division, GKS Gieksa Katowice, Gornik Leczna, 2,50, 3,10, 2,55, 1,45
Portugal - Primeira Liga, Famalicão, FC Porto, 6,40, 4,50, 1,52, 2,45
Portugal - Primeira Liga, Portimonense, Gil Vicente, 2,31, 3,05, 3,30, 1,30
Serbia - Serbian Cup, Vojvodina, Mladost L., 1,54, 3,60, 5,60, 1,13
